,ExtractedSeries,Citation
611,Case,Case 174/84
612,Case,Case 265/87
613,Case,Case 265/87
614,Case,Case 52/81
615,HCA,[2012] HCA 43
616,HCA,[2012] HCA 43
617,CSIH,[2012] CSIH 80
618,BLGR,[2012] BLGR 530
619,BLGR,[2009] BLGR 843
620,say,say 100
621,SC,[2004] SC 665
622,ECR,[1978] ECR 629
623,Case,Case 106/77
624,Case,Case-331/88
625,AD d,88 A.D. 3d 1
626,NEd,750 N.E.2d 1097
627,NE d,645 N.E. 2d 1195
628,US,476 US 858
629,AD d,95 A.D. 3d 185
630,Lloyds Rep,[2000] 2 Lloyds Rep 611
631,Ad,789 A2d 14
632,BCLC,[2011] 1 B.C.L.C. 352
633,F Supp,628 F. Supp. 727
634,ADd,180 A.D.2d 562
635,F Supp d,760 F. Supp. 2d 322
636,F Supp d,748 F. Supp. 2d 211
637,NYSd,643 N.Y.S.2d 33
638,F Supp,601 F. Supp. 770
639,US,445 U.S. 222
640,ADd,22 A.D.3d 274
641,ADd,172 A.D.2d 375
642,F Supp,998 F. Supp. 314
643,NYSd,846 N.Y.S.2d 336
644,NYSd,846 N.Y.S.2d 336
645,NYd,6 N.Y.3d 783
646,AD d,170 A.D. 2d 388
647,ADd,14 A.D.3d 971
648,AD d,15 A.D. 3d 444
649,ADd,247 A.D.2d 565
650,ADd,307 A.D.2d 234
651,F Supp d,619 F. Supp. 2d 39
652,ADd,239 A.D.2d 171
653,FSuppd,485 F.Supp.2d 224
654,F Supp d,765 F. Supp. 2d 403
655,ADd,27 A.D.3d 312
656,ADd,16 A.D.2d 763
657,NY Sd,227 N.Y. S.2d 735
658,NYd,8 N.Y.3d 422
659,ADd,132 A.D.2d 162
660,NYd,3 N.Y.3d 182
661,NY d,18 N.Y. 3d 777
662,NYSd,541 N.Y.S.2d 797
663,ADd,300 A.D.2d 732
664,NYSd,568 N.Y.S.2d 756
665,ADd,132 A.D.2d 650
666,ADd,47 A.D.2d 648
667,NYd,10 N.Y.3d 187
668,ADd,50 A.D.3d 575
669,NYSd,856 N.Y.S.2d 104
670,NYd,18 N.Y.3d 527
671,US,195 US 309
672,ADd,227 A.D.2d 581
673,Lloyds Rep,[2011] 1 Lloyds Rep 123
674,Lloyds Rep,[2001]1 Lloyd's Rep 421
675,Lloyds Rep,[2006]1 Lloyd's Rep 93
676,Park,Park 1
677,Lloyds Rep,[1950] 83 Lloyd’s Rep 178
678,App Cas,(1889) 14 App Cas 337
679,LT,(1900) 83 LT 41
680,CLC,[1999] CLC 1469
681,CLC,[1999] CLC 1469
682,CLC,[2001] CLC 221
683,CLC,[2001] CLC 221
684,AC,[1928] AC1
685,Ch D,(1881) 17 Ch D 301
686,App Cas,(1884) 9 App Cas 187
687,Lloyds Rep,[2011] 1 Lloyd’s Rep 123
688,Lloyds Rep,[1985] 2 Lloyd's Rep. 28
689,Lloyds Rep,[1988] 2 Lloyd's Rep. 343
690,CLC,[2011] 1 CLC 701
691,CLC,[2011] 1 CLC 701
692,CLC,[2010] 2 CLC 705
693,CLC,[2013] 1 CLC 596
694,LR  Ch App,LR 10 Ch App 515
695,LR  Ch App,LR 10 Ch App 515
696,LR  Ch App,LR 10 Ch App 515
697,LR  Eq,(1874) LR 18 Eq 524
698,LR  Ch App,(1874) LR 10 Ch App 96
699,CLC,[2002] CLC 440
700,EG,(1981) 263 EG 61
701,EWHC  Comm,[2008] EWHC 1186 (Comm)
702,AC,[2007]1 AC 181
703,WLR,[2006]1 WLR 1476
704,PD,14 PD 64
705,Ch D,(1884) 28 Ch D 7
706,App Cas,(1889) 14 App Cas 337
707,Lloyds LR,[1991] 1 Lloyds LR 482
708,BCC,[2005] B.C.C. 506
709,CLR,(1977) 180 CLR 266
710,CLR,(1999) 198 CLR 180
711,CLR,(1985) 157 CLR 424
712,LR  HL,(1867) LR 2 HL 325
713,LR  Eq,(1873) L.R. 15 Eq. 204
714,NZLR,[1984] 1 NZLR 354
715,NZLR,[1992] 2 N.Z.L.R. 517
716,QB,[1990] 1 QB 665
717,Ch D,(1881) 17 Ch D 301
718,AppCas,(1884) 9 App.Cas 187
719,say,say 2
720,say,"say, 1"
721,say,"say, 3"
722,LR  Ch App,[1866] LR 2 Ch App 21
723,EWCA Civ,[2011] EWCA Civ. 153
724,Fortescue,Fortescue 1
725,Fortescue,Fortescue 1
726,F,4F4
727,EWCA Civ,[2007] EWCA Civ. 811
728,EWCA Civ,[2001] EWCA Civ. 735
729,EWCA Civ,[2003] EWCA Civ. 1447
730,EWCA Civ,[2003] EWCA Civ.570
731,Ch,[1991] Ch. 448
